"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6198,"C GULF","Other","East",2000,-2.29049994753064,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6199,"C GULF","Other","East",2000,-0.922474779268333,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6201,"C GULF","Other","East",2000,0.0655433978099982,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6202,"C GULF","Other","East",2000,0.559552486349164,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6205,"C GULF","Other","East",2000,-1.94849365546506,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6206,"C GULF","Other","East",2000,-1.26448107133391,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6207,"C GULF","Other","East",2000,-1.56848666428109,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6208,"C GULF","Other","East",2000,-1.26448107133391,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6209,"C GULF","Other","East",2000,-1.07447757574192,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6210,"C GULF","Other","East",2000,0.293547592520383,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6213,"C GULF","Other","East",2000,-0.238462195137181,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6214,"C GULF","Other","East",2000,0.141544796046793,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6215,"C GULF","Other","East",2000,0.0275426986916017,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6216,"C GULF","Other","East",2000,0.17954549516519,"M",1,2,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6217,"C GULF","Other","East",2000,-0.656469885439551,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6219,"C GULF","Other","East",2000,-2.02449505370186,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6222,"C GULF","Other","East",2000,-0.276462894255577,"M",1,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6225,"C GULF","Other","East",2000,0.103544096928396,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6228,"C GULF","Other","East",2000,1.88957695549307,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6229,"C GULF","Other","East",2000,-0.0864593986635906,"M",1,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6231,"C GULF","Other","East",2000,-1.91049295634666,"M",1,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6232,"C GULF","Other","East",2000,-0.276462894255577,"M",1,2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6234,"C GULF","Other","East",2000,0.369548990757177,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6235,"C GULF","Other","East",2000,-1.3784831686891,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6236,"C GULF","Other","East",2000,1.16756367224352,"M",1,2,3,4,5,6,8,7,7,8,7,8,8,8,8,8,8,8,8
6238,"C GULF","Other","East",2000,0.141544796046793,"M",1,8,8,4,8,6,8,8,7,7,7,8,8,8,8,8,8,8,8
6239,"C GULF","Other","East",2000,-0.80847268191314,"M",1,8,8,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6241,"C GULF","Other","East",2000,0.331548291638779,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
