"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6200,"C GULF","Other","East",2000,-0.257873359613634,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6203,"C GULF","Other","East",2000,-0.937725059621715,"F",1,11,3,4,5,7,11,9,9,9,9,9,11,11,11,11,11,11,11
6204,"C GULF","Other","East",2000,-1.27765090962576,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6211,"C GULF","Other","East",2000,-1.27765090962576,"F",1,2,11,4,5,7,9,9,10,9,9,9,9,9,9,10,11,9,9
6212,"C GULF","Other","East",2000,0.470539176109311,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6218,"C GULF","Other","East",2000,-0.160751688183908,"F",1,11,11,11,11,11,11,9,10,11,9,11,11,11,11,11,11,11,11
6220,"C GULF","Other","East",2000,0.567660847539036,"F",1,2,11,4,11,7,11,9,10,10,11,11,11,11,11,11,11,11,11
6221,"C GULF","Other","East",2000,-1.22909007391089,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6223,"C GULF","Other","East",2000,-1.76325926677439,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6224,"C GULF","Other","East",2000,-0.452116702473086,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6226,"C GULF","Other","East",2000,-1.03484673105144,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6227,"C GULF","Other","East",2000,-1.71469843105952,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6230,"C GULF","Other","East",2000,-0.646360045332538,"F",1,2,11,11,5,7,9,11,10,10,10,9,10,10,10,9,9,9,9
6233,"C GULF","Other","East",2000,-1.47189425248521,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6237,"C GULF","Other","East",2000,-1.32621174534062,"F",1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6240,"C GULF","Other","East",2000,-0.84060338819199,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6242,"C GULF","Other","East",2000,0.179174161820132,"F",1,11,11,11,5,7,11,9,9,10,10,9,10,9,10,11,10,9,11
6243,"C GULF","Other","East",2000,0.95614753325794,"F",1,11,3,4,11,7,11,9,9,11,9,9,11,9,11,11,9,9,11
6245,"C GULF","Other","East",2000,2.02448591898493,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6246,"C GULF","Other","East",2000,0.0334916546755441,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6248,"C GULF","Other","East",2000,-0.646360045332538,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6250,"C GULF","Other","East",2000,-0.257873359613634,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6251,"C GULF","Other","East",2000,-1.18052923819603,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6253,"C GULF","Other","East",2000,-0.403555866758223,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6257,"C GULF","Other","East",2000,-0.597799209617675,"F",1,2,11,4,5,7,11,11,9,9,9,10,10,9,10,9,9,11,9
6258,"C GULF","Other","East",2000,-0.209312523898771,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6260,"C GULF","Other","East",2000,-0.160751688183908,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6261,"C GULF","Other","East",2000,-1.27765090962576,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6262,"C GULF","Other","East",2000,-1.22909007391089,"F",1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6263,"C GULF","Other","East",2000,0.0334916546755441,"F",1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6265,"C GULF","Other","East",2000,1.24751254754712,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6266,"C GULF","Other","East",2000,-0.84060338819199,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6267,"C GULF","Other","East",2000,-0.112190852469045,"F",1,11,11,4,5,7,11,11,11,11,11,11,11,11,11,11,11,11,11
6270,"C GULF","Other","East",2000,-0.986285895336578,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6272,"C GULF","Other","East",2000,-0.306434195328497,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6274,"C GULF","Other","East",2000,0.616221683253899,"F",1,11,3,4,5,7,9,9,9,9,9,10,9,10,9,9,9,11,10
