"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"48","E ALEU",1981,15415.9260108186,20576.7479214883,9563.48471799179,26080.4350914738,15415.9260108186,20576.7479214883,9563.48471799179,26080.4350914738,0
"49","E ALEU",1982,11532.8993267165,9567.76468668966,8005.84574186063,18182.0707683601,11531.1983083133,9568.21963909649,7996.62398387492,18177.9388292978,1
"50","E ALEU",1983,8883.14193463156,4956.59797163257,6725.58096733856,13079.4187393725,8883.14193463156,4956.59797163257,6725.58096733856,13079.4187393725,0
"51","E ALEU",1984,7047.75774256304,2822.61972170247,5622.71796022305,9821.31708294519,7047.75774256304,2822.61972170247,5622.71796022305,9821.31708294519,0
"52","E ALEU",1985,5747.10057893514,1718.31626210148,4673.59805647775,7634.39671144388,6038.91160214198,1704.88099935541,5226.60542472541,7915.74326700021,1
"53","E ALEU",1986,4816.9395894806,1128.43354153234,3986.9320042541,6173.55530146674,4807.9216526257,1122.89475807525,4030.61902619381,6160.33008210765,1
"54","E ALEU",1987,4118.81416384127,767.619992577423,3439.03046428218,5084.49277991299,4118.81416384127,767.619992577423,3439.03046428218,5084.49277991299,0
"55","E ALEU",1988,3582.52423649567,545.013676434792,3036.22215204785,4334.18885453994,3582.52423649567,545.013676434792,3036.22215204785,4334.18885453994,0
"56","E ALEU",1989,3170.16165472441,397.925306789619,2707.45083957823,3749.99912922859,2956.22923812734,387.221737798019,2551.17464930745,3519.08786822583,1
"57","E ALEU",1990,2846.48005786307,298.972077549493,2481.39956908166,3307.60129377931,2687.51070612151,269.481247019218,2418.10457660736,3084.39130612197,1
"58","E ALEU",1991,2601.39616674331,232.231975599438,2295.86175466521,2971.49428630213,2680.47329147578,207.966249583823,2412.87583244341,2980.18542894011,1
"59","E ALEU",1992,2410.30208020148,189.417808123068,2137.14867066946,2711.47261261804,2437.79760411724,182.284701500499,2167.6102294761,2716.48230104695,1
"60","E ALEU",1993,2266.67133622621,160.518284223674,2025.92963487622,2520.94354445611,2243.69031361274,147.727739244634,2038.58964221656,2489.4177304463,1
"61","E ALEU",1994,2153.16853703853,141.230782529931,1932.98289291193,2377.29615798116,2176.30284243107,93.7846090141853,2057.49293844955,2312.07467003594,1
"62","E ALEU",1995,2062.62139226651,129.016059092439,1861.62150128416,2269.34132060237,2069.85789579164,117.853362644049,1897.98643755944,2268.39145254076,1
"63","E ALEU",1996,1989.7405063922,121.558309231861,1786.12613932288,2175.53816337298,2084.4967573926,106.039072515992,1922.35812070396,2251.93531713788,1
"64","E ALEU",1997,1931.4560824359,113.230080893966,1754.10238577238,2116.65951473033,1955.65656108801,83.3452906875956,1823.54569510073,2080.77432076145,1
"65","E ALEU",1998,1886.1601583535,108.872087867476,1720.82566416423,2067.73861073537,1773.25085616836,46.9761590578302,1726.62643412533,1833.90490237379,1
"66","E ALEU",1999,1856.60010654119,106.63643654441,1690.39409303562,2035.17465966718,1856.60010654119,106.63643654441,1690.39409303562,2035.17465966718,0
"67","E ALEU",2000,1847.16067042065,103.008879720396,1683.03576665899,2017.89918106295,1845.75289380274,88.3989509445843,1700.91076155628,1986.70470502826,1
"68","E ALEU",2001,1861.9586680748,101.595501299834,1699.17353156307,2030.45384498649,1879.49445195799,32.0328187708124,1851.53647164275,1921.06139081296,1
"69","E ALEU",2002,1902.49688189227,102.060696424052,1736.78570860172,2068.78113609681,1853.99128574888,83.8694249112682,1723.81477151808,1991.49864881278,1
"70","E ALEU",2003,1968.11421690064,101.959186420996,1803.44262123893,2135.2193704615,1997.99713187025,62.8312858271334,1896.03704296458,2098.23739372086,1
"71","E ALEU",2004,2058.44274439059,104.292319010565,1887.12454144866,2228.36049612094,1961.82497508034,57.9241269169164,1872.52570569637,2057.16431587029,1
"72","E ALEU",2005,2168.52883294813,107.180605293127,1995.71479534815,2347.17177244575,2242.7594423709,19.1777365390744,2218.00520900929,2270.01815909398,1
"73","E ALEU",2006,2293.76155716022,110.951267111007,2120.12815401103,2480.57612821478,2293.76155716022,110.951267111007,2120.12815401103,2480.57612821478,0
"74","E ALEU",2007,2424.05518869901,116.968224440251,2229.71796731846,2616.3562313408,2425.09767568029,116.375561789943,2239.54130184339,2624.15423713026,1
"75","E ALEU",2008,2544.37124456741,121.820407135834,2345.22375834958,2743.92978434717,2544.37124456741,121.820407135834,2345.22375834958,2743.92978434717,0
"76","E ALEU",2009,2649.51533990507,125.278001885639,2437.84781895657,2850.07796299875,2646.69948443414,5.53845024993978,2642,2654.39493567591,1
"77","E ALEU",2010,2725.50891739707,127.711391983135,2516.98105933629,2930.66470404335,2724.57605325472,108.581176200476,2542.46245032776,2894.71945455347,1
"78","E ALEU",2011,2768.90327290467,127.35462821323,2564.87137824623,2980.4266175843,2807.27031728032,8.21514362879947,2795.25363113968,2821.09122657534,1
"79","E ALEU",2012,2788.98345180723,128.849791274282,2585.79560593937,3003.36038495054,2788.98345180723,128.849791274282,2585.79560593937,3003.36038495054,0
"80","E ALEU",2013,2793.91198201548,130.77546588688,2582.96074379338,3011.64890544032,2793.91198201548,130.77546588688,2582.96074379338,3011.64890544032,0
"81","E ALEU",2014,2789.4612705496,133.797820649245,2567.70899031981,3005.65177600993,2746.54292033035,16.9040385491791,2719.75149562307,2772.77793228671,1
"82","E ALEU",2015,2791.867451695,129.57934037165,2575.02179985851,2997.34436770329,2796.40058684693,128.434564400694,2593.51376868446,3010.09901346567,1
"83","E ALEU",2016,2806.96507402706,128.785672406266,2599.33926622816,3019.56975502834,2813.03974421346,15.2910629060887,2789.60776004114,2837.95082914693,1
"84","E ALEU",2017,2839.36204853009,131.173214588854,2624.58550621705,3056.65930549176,2839.36204853009,131.173214588854,2624.58550621705,3056.65930549176,0
"85","E ALEU",2018,2907.91202090202,149.900988390902,2664.08431859359,3154.45993616732,2890.3196914285,40.6707792822704,2836.26963476839,2954.66723240406,1
"86","E ALEU",2019,3002.1806172076,190.208116094534,2705.92730599823,3321.40805012551,3002.1806172076,190.208116094534,2705.92730599823,3321.40805012551,0
"87","E ALEU",2020,3143.03636810447,255.031747685924,2763.44841861487,3579.74838801839,3143.03636810447,255.031747685924,2763.44841861487,3579.74838801839,0
"88","E ALEU",2021,3317.26330070789,365.277970901559,2762.32393568059,3886.46571490475,3317.26330070789,365.277970901559,2762.32393568059,3886.46571490475,0
"89","W ALEU",1978,2841.76923007771,17738.730922869,1513.40983887398,7177.33241340498,2841.76923007771,17738.730922869,1513.40983887398,7177.33241340498,0
"90","W ALEU",1979,2846.28719228216,9970.20540732199,1735.98155130226,6152.81963642433,2831.33859746002,9970.73167863492,1823.01957827001,6062.70773101188,1
"91","W ALEU",1980,2899.95517500139,5970.07327062905,1768.57367478274,5443.20073160121,2899.95517500139,5970.07327062905,1768.57367478274,5443.20073160121,0
"92","W ALEU",1981,2988.06756158561,3688.35555335375,1833.49357185666,4963.68590071899,2988.06756158561,3688.35555335375,1833.49357185666,4963.68590071899,0
