SITE,REGION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
AKUTAN/CAPE MORGAN,E ALEU,1172,1135,904,1298,1358,,,1127,,900,,NP
AKUTAN/NORTH HEAD,E ALEU,0,0,,1,,,,0,,0,,NP
AKUTAN/REEF-LAVA,E ALEU,57,128,166,98,352,,,352,,218,,NP
AMAK+ROCKS,E ALEU,220,265,324,366,358,,,592,,1120,,NP
AVATANAK,E ALEU,42,,,,,,,31,,69,,NP
BABY,E ALEU,0,0,,0,,,,0,,0,,NP
BASALT ROCK,E ALEU,0,0,,,,,,0,,0,,NP
BOGOSLOF/FIRE ISLAND,E ALEU,405,390,398,434,314,,,347,,308,,NP
CAPE NEWENHAM,E ALEU,,,,,,,,,194,,115,NP
EGG,E ALEU,0,0,,84,,,35,10,,7,,NP
EMERALD,E ALEU,0,0,,0,,,,0,,0,,NP
INNER SIGNAL,E ALEU,47,54,,28,,,91,49,,12,,NP
KALIGAGAN,E ALEU,6,1,,,,,,1,,2,,NP
OGCHUL,E ALEU,152,200,224,268,210,,,272,,220,,NP
OLD MAN ROCKS,E ALEU,81,89,,196,126,,35,15,,124,,NP
OTTER ISLAND,E ALEU,,,,,,,,,13,,,NP
OUTER SIGNAL,E ALEU,0,10,,52,,,2,1,,32,,NP
POLIVNOI ROCK,E ALEU,96,93,,136,28,,,126,,110,,NP
ROCK,E ALEU,0,0,,,,,,,,0,,NP
ROOTOK,E ALEU,141,60,,,,,,30,,45,,NP
ROUND (WALRUS IS),E ALEU,,98,139,79,195,132,97,100,73,285,180,NP
SAMALGA,E ALEU,0,0,,0,,,,0,,,,NP
SEA LION ROCK (AMAK),E ALEU,385,360,314,436,552,,,504,,764,,NP
ST. GEORGE,E ALEU,,,,,,,,,23,,,NP
ST. PAUL/NE POINT,E ALEU,,,,,,,,,29,,,NP
ST. PAUL/SEA LION ROCK,E ALEU,,,,,,,,,12,,,NP
TANGINAK,E ALEU,4,1,,,,,,2,,32,,NP
THE PILLARS,E ALEU,0,0,,15,90,,25,26,,6,,NP
TIGALDA/ROCKS NE,E ALEU,236,359,228,,135,,,114,,124,,NP
TIGALDA/SOUTH SIDE,E ALEU,105,91,,,61,,,93,,50,,NP
UGAMAK,E ALEU,1493,1619,1875,,1219,,,1216,,966,,NP
UMNAK/AGULIUK POINT,E ALEU,,0,,0,,,,0,,0,,NP
UMNAK/CAPE ASLIK,E ALEU,,63,,78,20,,,181,,138,,NP
UMNAK/CAPE CHAGAK,E ALEU,,0,,,,,,0,,1,,NP
UMNAK/CAPE IDAK,E ALEU,0,0,,0,,,,0,,0,,NP
UMNAK/CAPE UDAK,E ALEU,,,,,,,,13,,,,NP
UMNAK/REINDEER POINT,E ALEU,,0,,,,,,0,,0,,NP
UNALASKA/BISHOP POINT,E ALEU,196,204,195,240,214,,,208,,140,,NP
UNALASKA/CAPE IZIGAN,E ALEU,304,188,456,435,460,,,197,,292,,NP
UNALASKA/CAPE SEDANKA,E ALEU,0,0,,0,,,,0,,0,,NP
UNALASKA/CAPE STARICHKOF,E ALEU,0,0,,0,,,,0,,0,,NP
UNALASKA/CAPE WISLOW,E ALEU,0,0,,0,,,,0,,0,,NP
UNALASKA/KOVRIZHKA,E ALEU,0,0,,0,,,,0,,0,,NP
UNALASKA/MAKUSHIN BAY,E ALEU,154,115,,56,,,,47,,142,,NP
UNALASKA/POINT KADIN,E ALEU,10,,,,,,,,,,,NP
UNALASKA/PRIEST ROCK,E ALEU,3,2,,4,,,,105,,7,,NP
UNALASKA/SPRAY CAPE,E ALEU,0,0,,0,,,,78,,68,,NP
UNALASKA/WHALEBONE CAPE,E ALEU,0,0,,0,,,,6,,2,,NP
UNIMAK/CAPE LAZAREF,E ALEU,0,0,,,,,,0,,201,,NP
UNIMAK/CAPE LUTKE,E ALEU,0,0,,,,,,0,,0,,NP
UNIMAK/CAPE SARICHEF,E ALEU,6,167,1,,0,,,2,,26,,NP
UNIMAK/CAVE POINT,E ALEU,,0,,,,,,0,,0,,NP
UNIMAK/OKSENOF POINT,E ALEU,269,762,332,,188,,,594,,358,,NP
UNIMAK/SCOTCH CAP,E ALEU,0,0,,,,,,0,,0,,NP
UNIMAK/SENNETT POINT,E ALEU,0,0,,,,,,0,,0,,NP
VSEVIDOF,E ALEU,35,50,,75,82,,72,113,,118,,NP
WALRUS,E ALEU,,,,,,,,,260,,,NP
AIALIK CAPE,E GULF,160.75,77,88,74,,,164,,182,,128,NP
CAPE FAIRFIELD,E GULF,10,47,32,27,,,50,,0,,26,NP
CAPE HINCHINBROOK,E GULF,95,229,102,161,76,,270,,17,,1,NP
CAPE JUNKEN,E GULF,0,0,1,0,,,0,,0,,0,NP
